id,drug,co_drug,status,note
1,Acyclovir,Ampicillin,Unknown,Auto-filled placeholder (not yet reviewed)
2,Acyclovir,Gentamicin,Unknown,Auto-filled placeholder (not yet reviewed)
3,Acyclovir,Meropenem,Unknown,Auto-filled placeholder (not yet reviewed)
4,Acyclovir,Amphotericin B,No,ไม่สามารถใช่ร่วมกันได้
5,Acyclovir,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
6,Acyclovir,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
7,Acyclovir,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
8,Acyclovir,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
9,Acyclovir,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
10,Acyclovir,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
11,Acyclovir,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
12,Acyclovir,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
13,Acyclovir,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
14,Acyclovir,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
15,Acyclovir,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
16,Acyclovir,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
17,Acyclovir,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
18,Acyclovir,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
19,Acyclovir,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
20,Acyclovir,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
21,Acyclovir,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
22,Acyclovir,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
23,Acyclovir,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
24,Acyclovir,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
25,Acyclovir,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
26,Acyclovir,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
27,Acyclovir,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
28,Acyclovir,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
29,Vancomycin,Ampicillin,Unknown,Auto-filled placeholder (not yet reviewed)
30,Vancomycin,Gentamicin,Unknown,Auto-filled placeholder (not yet reviewed)
31,Vancomycin,Amphotericin B,Unknown,Auto-filled placeholder (not yet reviewed)
32,Vancomycin,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
33,Vancomycin,Hydrocortisone,Unknown,ไม่พบข้อมูลยืนยัน
34,Vancomycin,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
35,Vancomycin,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
36,Vancomycin,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
37,Vancomycin,Remdesivir,Unknown,ไม่พบข้อมูลยืนยัน
38,Vancomycin,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
39,Vancomycin,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
40,Vancomycin,Cefazolin,Unknown,ไม่พบข้อมูลยืนยัน
41,Vancomycin,Colistin,Unknown,ไม่พบข้อมูลยืนยัน
42,Vancomycin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
43,Vancomycin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
44,Vancomycin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
45,Vancomycin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
46,Vancomycin,Furosemide,Unknown,Furosemide มี pH สูง—แยกสายถ้าไม่แน่ใจ
47,Vancomycin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
48,Vancomycin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
49,Vancomycin,Omeprazole,Unknown,ไม่พบข้อมูลยืนยัน
50,Vancomycin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
51,Vancomycin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
52,Vancomycin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
53,Vancomycin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
54,Vancomycin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
55,Vancomycin,Unasyn,Unknown,ไม่พบข้อมูลยืนยัน
56,Levofloxacin,Ampicillin,Unknown,Auto-filled placeholder (not yet reviewed)
57,Levofloxacin,Meropenem,Unknown,Auto-filled placeholder (not yet reviewed)
58,Levofloxacin,Amphotericin B,Unknown,Auto-filled placeholder (not yet reviewed)
59,Levofloxacin,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
60,Levofloxacin,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
61,Levofloxacin,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
62,Levofloxacin,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
63,Levofloxacin,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
64,Levofloxacin,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
65,Levofloxacin,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
66,Levofloxacin,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
67,Levofloxacin,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
68,Levofloxacin,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
69,Levofloxacin,Colistin,Unknown,ไม่พบข้อมูลยืนยัน
70,Levofloxacin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
71,Levofloxacin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
72,Levofloxacin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
73,Levofloxacin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
74,Levofloxacin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
75,Levofloxacin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
76,Levofloxacin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
77,Levofloxacin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
78,Levofloxacin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
79,Levofloxacin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
80,Levofloxacin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
81,Levofloxacin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
82,Levofloxacin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
83,Levofloxacin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
84,Ampicillin,Meropenem,Unknown,Auto-filled placeholder (not yet reviewed)
85,Ampicillin,Amphotericin B,Unknown,Auto-filled placeholder (not yet reviewed)
86,Ampicillin,Ceftazidime,Unknown,ไม่พบข้อมูลยืนยัน
87,Ampicillin,Cefotaxime,Unknown,ไม่พบข้อมูลยืนยัน
88,Ampicillin,Clindamycin,Unknown,Auto-filled placeholder (not yet reviewed)
89,Ampicillin,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
90,Ampicillin,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
91,Ampicillin,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
92,Ampicillin,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
93,Ampicillin,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
94,Ampicillin,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
95,Ampicillin,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
96,Ampicillin,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
97,Ampicillin,Amikacin,Unknown,ไม่มีข้อมูลแน่ชัด
98,Ampicillin,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
99,Ampicillin,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
100,Ampicillin,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
101,Ampicillin,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
102,Ampicillin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
103,Ampicillin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
104,Ampicillin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
105,Ampicillin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
106,Ampicillin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
107,Ampicillin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
108,Ampicillin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
109,Ampicillin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
110,Ampicillin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
111,Ampicillin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
112,Ampicillin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
113,Ampicillin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
114,Ampicillin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
115,Ampicillin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
116,Gentamicin,Meropenem,Unknown,ไม่พบข้อมูลยืนยัน
117,Gentamicin,Amphotericin B,Unknown,Auto-filled placeholder (not yet reviewed)
118,Gentamicin,Ceftazidime,Unknown,Auto-filled placeholder (not yet reviewed)
119,Gentamicin,Cefotaxime,Unknown,Auto-filled placeholder (not yet reviewed)
120,Gentamicin,Clindamycin,Unknown,Auto-filled placeholder (not yet reviewed)
121,Gentamicin,Cloxacillin,Unknown,ไม่พบข้อมูลยืนยัน
122,Gentamicin,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
123,Gentamicin,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
124,Gentamicin,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
125,Gentamicin,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
126,Gentamicin,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
